企业名称,信用代码,企业注册地
纵横互建项目管理有限公司,91510105MA6CFD5X83,四川省成都市武侯区星狮路511号1栋5层17号
西双版纳正禾建设咨询有限公司,915328007704896313,云南省西双版纳州景洪市勐海路63-A号正禾居
建银工程咨询有限责任公司,91110000597723526D,北京市海淀区西三环北路甲2号院2号楼7层
云南维普建设项目管理有限公司,91530100MA6K38LX89,云南省昆明高新区北区昱竹园三幢3-5号
西安铁一院工程咨询管理有限公司,91610131783553436A,西安市雁塔区丈八一路一号汇鑫IBC D座6楼
中赞国际项目管理有限公司,91610112MA6UUKM03A,陕西省西安市未央区未央路老三届首座大厦2号1幢12220室
大理白族自治州建设监理有限责任公司,91532900218652837X,云南省大理白族自治州大理市大理创新工业园区满江片区龙山东路龙山商务大厦3楼
云南德旭项目管理有限公司,91532300MAD0DHB32L,云南省楚雄高新区东瓜社区兴隆街61号（原东瓜镇政府办公楼）3-304室
易顺建工集团有限公司,913507246668630132,福建省南平市松溪县松源街道工农东路346-9号
福建省诚毅工程建造有限公司,9135050477535455XK,泉州市洛江区万祥与安吉路交叉口东北侧力标·吉源雅苑1号楼33层
云南淳汇工程监理咨询有限公司,91530100059480627T,中国（云南）自由贸易试验区昆明片区经开区经开路 3 号 昆明科技创新园 2C13-21 室
四川创海建筑工程有限公司,91510000567618207U,成都市武区武侯大道顺江段77号1幢7层20号
昆明地铁建设管理有限公司,915301000594927590,云南省昆明市盘龙区北京路915号地铁线网控制中心18、19层
睿闽工程咨询有限公司,91350503MA33QLD4X1,福建省泉州市丰泽区金崎路216号星悦荟广场303室、305室
译诚实业集团有限公司,91610000664144998W,陕西省西安市灞桥区纺西街238号半坡国际艺术区C区
北京世纪千府国际工程设计有限公司,91110108786875529M,北京市海淀区长春桥路5号新起点嘉园10号楼4层501
云南鸿蒙项目管理咨询有限公司,91530100MA6P8KHH66,中国（云南）自由贸易试验区昆明片区经开区顺通大道31号国际珠宝城7栋410室
云南世纪永立工程管理咨询有限公司,9153040270980927XC,云南省玉溪市红塔区南北大街北苑小区一期一组团A-7号
云南盛企工程管理有限公司,91530802MABLU6BC46,云南省普洱市思茅区龙王井108号6栋二单元201室
